S/N,STATE,LGA,REGISTRATION AREA,POLLING UNIT,DELIMITATION,TOTAL
817,JIGAWA,BIRNIWA,NGUWA,ARI ADAM PRI. SCH./ARI ADAM,17-04-11-005,292
818,JIGAWA,BIRNIWA,NGUWA,KOFAR MAIGARI/GAJARMA,17-04-11-006,233
819,JIGAWA,BIRNIWA,NGUWA,KOFAR MAIGARI/GURA-GURA,17-04-11-007,396
820,JIGAWA,BIRNIWA,NGUWA,KOFAR MAIGARI/WALAWA/TIKUDKAM,17-04-11-008,498
821,JIGAWA,BIRNIWA,NGUWA,GABASMARI PRI. SCH./GABASMARI / DALARI,17-04-11-009,722
822,JIGAWA,BUJI,AHOTO,PRI. SCH. AHOTO AREWA,17-05-01-001,575
823,JIGAWA,BUJI,AHOTO,KOFAR FADA AHOTO YAMMA BUGAWA,17-05-01-002,778
824,JIGAWA,BUJI,AHOTO,KOFAR G/MAIUNGUWA SHUWARI,17-05-01-003,227
825,JIGAWA,BUJI,AHOTO,KOFAR G/MAIUNGUWA DOGON MARKE C/MANDARI,17-05-01-004,310
826,JIGAWA,BUJI,AHOTO,DISPENSARY TIJIYO GABAS YAMMA,17-05-01-005,832
827,JIGAWA,BUJI,AHOTO,K/GIDAN MAI-UNGUWA TIJIYO JUBARI/GOMARI,17-05-01-006,619
828,JIGAWA,BUJI,AHOTO,K/GIDAN MAIUNGUWA ABORE,17-05-01-007,564
829,JIGAWA,BUJI,AHOTO,K/GIDAN MAI-ANGUWA ALAGARNO,17-05-01-008,353
830,JIGAWA,BUJI,AHOTO,AHOTO YAMMA,17-05-01-009,719
831,JIGAWA,BUJI,BUJI,PRI. SCH. BUJI,17-05-02-001,781
832,JIGAWA,BUJI,BUJI,PRI. SCH. BUJI AREWA,17-05-02-002,741
833,JIGAWA,BUJI,BUJI,PRI. SCH. CHAKWAMA,17-05-02-003,1280
834,JIGAWA,BUJI,BUJI,K/GIDAN MAI-UNGUWA KAFIN-ALHAJI,17-05-02-004,403
835,JIGAWA,BUJI,BUJI,K/GIDAN MAI-UNGUWA JIGAWAR TSAGE,17-05-02-005,243
836,JIGAWA,BUJI,BUJI,K/GIDAN MAI-UNGUWA BALANGORI,17-05-02-006,446
837,JIGAWA,BUJI,BUJI,PRY SCH BUJI YAMMA,17-05-02-007,641
838,JIGAWA,BUJI,BUJI,JUNIOR SEC. SCH. BUJI,17-05-02-008,228
839,JIGAWA,BUJI,BUJI,BHC CHAKWAMA,17-05-02-009,103
840,JIGAWA,BUJI,BUJI,CHAKWAMA YAMMA ISILAMIYA SCH.,17-05-02-010,154
841,JIGAWA,BUJI,CHURBUN,PRI. SCH CHURBUN,17-05-03-001,517
842,JIGAWA,BUJI,CHURBUN,K/MAI'UNGUWA KWALELE,17-05-03-002,545
843,JIGAWA,BUJI,CHURBUN,K/MAI'UNGUWA DADIN DUNIYA,17-05-03-003,418
844,JIGAWA,BUJI,CHURBUN,PRI. SCH. UNGUWAR MAINA,17-05-03-004,1763
845,JIGAWA,BUJI,CHURBUN,PRI. SCH. JAJI KOLI GABAS,17-05-03-005,678
846,JIGAWA,BUJI,CHURBUN,PRI. SCH. JAJI KOLI  YAMMA,17-05-03-006,602
847,JIGAWA,BUJI,CHURBUN,K/GIDAN MAI-UNGUWA CHURBUNAWA JATA,17-05-03-007,414
848,JIGAWA,BUJI,CHURBUN,K/MAI-UNGUWA GIGINYA BAKWAI,17-05-03-008,728
849,JIGAWA,BUJI,CHURBUN,"PRY SCH, CHURBUN",17-05-03-009,771
850,JIGAWA,BUJI,CHURBUN,UNGUWAR MAINA DISPENSERY,17-05-03-010,72
851,JIGAWA,BUJI,CHURBUN,BAKIN KASUWA UNGUWAR MAINA,17-05-03-011,85
852,JIGAWA,BUJI,CHURBUN,NURUL ISILAM UNGUWAR MAINA SCH,17-05-03-012,108
853,JIGAWA,BUJI,GANTSA,PRI. SCH GANTSA FADA KUDU,17-05-04-001,989
854,JIGAWA,BUJI,GANTSA,PRI. SCH GANTSA FADA YAMMA,17-05-04-002,954
855,JIGAWA,BUJI,GANTSA,B/KASUWA KWALELE GANTSA FADA AREWA,17-05-04-003,983
856,JIGAWA,BUJI,GANTSA,K/MAIUNGUWA GIDAN BAKO BADAWAIRE,17-05-04-004,680
857,JIGAWA,BUJI,GANTSA,K/MAIUNGUWA KATSAMA,17-05-04-005,511
858,JIGAWA,BUJI,GANTSA,K/MAIUNGUWA  JUBARI G/KUKA,17-05-04-006,504
859,JIGAWA,BUJI,GANTSA,PRI. SCH. GIDAN RAFA,17-05-04-007,563
860,JIGAWA,BUJI,GANTSA,K/MAIUNGUWA KAGADAMA,17-05-04-008,542
861,JIGAWA,BUJI,GANTSA,K/MAIUNGUWA DAKORI,17-05-04-009,358
862,JIGAWA,BUJI,GANTSA,"PRY SCH, GANTSA FADA",17-05-04-010,909
863,JIGAWA,BUJI,GANTSA,GANTSA ISILAMIYA SCH. KOFAR HAKIMI,17-05-04-011,113
864,JIGAWA,BUJI,GANTSA,GANTSA LEA OFFICE,17-05-04-012,750
865,JIGAWA,BUJI,GANTSA,GANTSA TSANGAYA ISILAMIYA ALARAMMA DUNGU,17-05-04-013,69
866,JIGAWA,BUJI,GANTSA,NPI OFFICE GANTSA,17-05-04-014,750
867,JIGAWA,BUJI,GANTSA,JUNIOR SEC. SCH. GANTSA,17-05-04-015,108
868,JIGAWA,BUJI,GANTSA,GANTSA YAMMA WATER BOARD STATION,17-05-04-016,82
869,JIGAWA,BUJI,FALAGERI,PRI. SCH FALAGERI FADA,17-05-05-001,750
870,JIGAWA,BUJI,FALAGERI,PRI. SCH. KARANJAU FALAGERI,17-05-05-002,986
871,JIGAWA,BUJI,FALAGERI,K/ MAIUNGUWA JALMARI,17-05-05-003,230
872,JIGAWA,BUJI,FALAGERI,K/MAI -UNGUWA GIDAN AMADU NASARAWA,17-05-05-004,338
873,JIGAWA,BUJI,FALAGERI,K/ MAIUNGUWA  GAMBASHA,17-05-05-005,536
874,JIGAWA,BUJI,FALAGERI,K/ MAIUNGUWA  BURARI,17-05-05-006,332
875,JIGAWA,BUJI,FALAGERI,K/MAI-UNGUWA KINJI,17-05-05-007,259
876,JIGAWA,BUJI,FALAGERI,FALGERI DISPENSERY,17-05-05-008,550
877,JIGAWA,BUJI,KAWAYA,SAGU GABAS PRI. SCH.,17-05-06-001,750
878,JIGAWA,BUJI,KAWAYA,SAGU YAMMA PRI. SCH.,17-05-06-002,1201
879,JIGAWA,BUJI,KAWAYA,KAWAYA PRI. SCH.,17-05-06-003,947
880,JIGAWA,BUJI,KAWAYA,KAUYERI/K.FADA,17-05-06-004,207
881,JIGAWA,BUJI,KAWAYA,GWADAYI KUDU PRI. SCH.,17-05-06-005,978
882,JIGAWA,BUJI,KAWAYA,GWADAYI YAMMA PRI. SCH.,17-05-06-006,792
883,JIGAWA,BUJI,KAWAYA,GANGAU/GIDAN BEBE KOFAR FADA,17-05-06-007,334
884,JIGAWA,BUJI,KAWAYA,BATURA / ALKALERI KOFAR FADA,17-05-06-008,309
885,JIGAWA,BUJI,KAWAYA,GIJI FAWA KOFAR FADA,17-05-06-009,272
886,JIGAWA,BUJI,KAWAYA,DOGORI KOFAR FADA,17-05-06-010,326
887,JIGAWA,BUJI,KAWAYA,NAHUCHE KOFAR FADA,17-05-06-011,334
888,JIGAWA,BUJI,KAWAYA,K/MAI UNGUWA GIDAN HAMMA,17-05-06-012,637
889,JIGAWA,BUJI,KAWAYA,GIRLS JUNIOR SECONDARY SCH SAGU GABAS,17-05-06-013,629
890,JIGAWA,BUJI,KAWAYA,SAGU PHC GABAS,17-05-06-014,113
891,JIGAWA,BUJI,KAWAYA,SAGU YAMMA PRI SCH LL,17-05-06-015,89
892,JIGAWA,BUJI,KAWAYA,KAWAYA DISPENSERY,17-05-06-016,81
893,JIGAWA,BUJI,KAWAYA,GWADAYI TSOHUWAR KASUWA (OPEN SPACE),17-05-06-017,78
894,JIGAWA,BUJI,KAWAYA,GWADAYI JUNIOR SEC.  SCH. YAMMA,17-05-06-018,125
895,JIGAWA,BUJI,KUKUMA,KUKUMA AREWA PRI. SCH.,17-05-07-001,639
896,JIGAWA,BUJI,KUKUMA,KUKUMA  FADA PRI. SCH.,17-05-07-002,902
897,JIGAWA,BUJI,KUKUMA,JIGAWAR MEGA KOFAR FADA,17-05-07-003,370
898,JIGAWA,BUJI,KUKUMA,GUDDUBA SHATOKA KOFAR FADA,17-05-07-004,550
899,JIGAWA,BUJI,KUKUMA,DAN KOSHE GARI/FULANI PRI. SCH.,17-05-07-005,662
900,JIGAWA,BUJI,KUKUMA,GWAN GWAN KOFAR FADA,17-05-07-006,387
901,JIGAWA,BUJI,KUKUMA,AZANAHU KOFAR FADA,17-05-07-007,385
902,JIGAWA,BUJI,KUKUMA,SHUKUNI/KOFAR FADA,17-05-07-008,546
903,JIGAWA,BUJI,KUKUMA,BAKWARGA FADA AREWA PRI. SCH.,17-05-07-009,756
904,JIGAWA,BUJI,KUKUMA,WARAWA/ KOFAR FADA,17-05-07-010,340
905,JIGAWA,BUJI,KUKUMA,LIRINDE KOFAR FADA,17-05-07-011,267
906,JIGAWA,BUJI,KUKUMA,KWARINJA KOFAR FADA,17-05-07-012,640
907,JIGAWA,BUJI,KUKUMA,KUKUMA PHC,17-05-07-013,323
908,JIGAWA,BUJI,KUKUMA,BAKWARGA ISLAMIYYA PRI SCH,17-05-07-014,39
909,JIGAWA,BUJI,K/LELEN KUDU,KARANJAU/L.KUDU PRI. SCH.,17-05-08-001,767
910,JIGAWA,BUJI,K/LELEN KUDU,DANBAZAU KOFAR FADA,17-05-08-002,845
911,JIGAWA,BUJI,K/LELEN KUDU,GAINAKO/JAURO FALDO KOFAR FADA,17-05-08-003,163
912,JIGAWA,BUJI,K/LELEN KUDU,KATURJE KOFAR FADA,17-05-08-004,252
913,JIGAWA,BUJI,K/LELEN KUDU,MADABA/BURINYIMAU KOFAR FADA,17-05-08-005,291
914,JIGAWA,BUJI,K/LELEN KUDU,ABURJI KOFAR FADA,17-05-08-006,430
915,JIGAWA,BUJI,K/LELEN KUDU,BEBEJI/MAIRIMA KOFAR FADA,17-05-08-007,673
916,JIGAWA,BUJI,K/LELEN KUDU,YAYARIN CHAKAURI PRI. SCH.,17-05-08-008,892
917,JIGAWA,BUJI,K/LELEN KUDU,YAYARIN  YAMMA  PRI. SCH.,17-05-08-009,589
918,JIGAWA,BUJI,K/LELEN KUDU,GOMARI KOFAR FADA,17-05-08-010,258
919,JIGAWA,BUJI,K/LELEN KUDU,DAMBAZAU JUNIOR SEC. SCH.,17-05-08-011,67
920,JIGAWA,BUJI,K/LELEN KUDU,YAYARIN CHAKWAURI DESPENSERY,17-05-08-012,181
921,JIGAWA,BUJI,MADABE,MADABE PRI. SCH.,17-05-09-001,894
922,JIGAWA,BUJI,MADABE,MADABE/JAKA-KOFAR FADA,17-05-09-002,826
923,JIGAWA,BUJI,MADABE,MAMUNA KOFAR FADA,17-05-09-003,627
924,JIGAWA,BUJI,MADABE,LAFIYA KOFAR FADA,17-05-09-004,729
925,JIGAWA,BUJI,MADABE,GUBAMBIYA KOFAR FADA,17-05-09-005,577
926,JIGAWA,BUJI,MADABE,MADABE ISILAMIYA SCH,17-05-09-006,131
927,JIGAWA,BUJI,Y/TUKUR,YAYARIN TUKUR AREWA PRI. SCH.,17-05-10-001,1273
928,JIGAWA,BUJI,Y/TUKUR,YAYARIN TUKUR  KUDU PRI. SCH.,17-05-10-002,1066
929,JIGAWA,BUJI,Y/TUKUR,KAFIN BAHAGO/RIGAR FADA,17-05-10-003,358
930,JIGAWA,BUJI,Y/TUKUR,KAFIN GARA KOFAR FADA,17-05-10-004,293
931,JIGAWA,BUJI,Y/TUKUR,GIDAN DAJJI KOFAR FADA,17-05-10-005,320
932,JIGAWA,BUJI,Y/TUKUR,KAFIN MADAKI PRI. SCH.,17-05-10-006,809
933,JIGAWA,BUJI,Y/TUKUR,YALWA KOFAR FADA,17-05-10-007,492
934,JIGAWA,BUJI,Y/TUKUR,KOFAR FADA GONGEL KANAWA/FULANI,17-05-10-008,315
935,JIGAWA,BUJI,Y/TUKUR,K/MAIUNGUWA RIGAR FADA,17-05-10-009,303
936,JIGAWA,BUJI,Y/TUKUR,YAYARIN TUKUR B/KASUWA AREWA,17-05-10-010,177
937,JIGAWA,BUJI,Y/TUKUR,YAYARIN TUKUR PRI. SCH. NASARAWA,17-05-10-011,114
938,JIGAWA,BUJI,Y/TUKUR,KAFIN MADAKI ISLAMIYYA SCH,17-05-10-012,59
939,JIGAWA,DUTSE,ABAYA,ABAYA PRI. SCH,17-06-01-001,812
940,JIGAWA,DUTSE,ABAYA,BAKAWA,17-06-01-002,416
941,JIGAWA,DUTSE,ABAYA,DAGWAJE PRI. SCHOOL,17-06-01-003,230
942,JIGAWA,DUTSE,ABAYA,DOGON JEJI,17-06-01-004,905
943,JIGAWA,DUTSE,ABAYA,DUHUWA,17-06-01-005,583
944,JIGAWA,DUTSE,ABAYA,GIDAN MAIDAWA,17-06-01-006,419
945,JIGAWA,DUTSE,ABAYA,GIDAN TSAMIYA,17-06-01-007,631
946,JIGAWA,DUTSE,ABAYA,BOTAI,17-06-01-008,142
947,JIGAWA,DUTSE,ABAYA,KYARAN PRI. SCHOOL,17-06-01-009,750
948,JIGAWA,DUTSE,ABAYA,MALORI,17-06-01-010,407
949,JIGAWA,DUTSE,ABAYA,TABOBO PRI.SCH.,17-06-01-011,654
950,JIGAWA,DUTSE,ABAYA,CHINAR/BOTAI,17-06-01-012,481
951,JIGAWA,DUTSE,ABAYA,ABAYA DISPENSARY,17-06-01-013,44
952,JIGAWA,DUTSE,ABAYA,KYARAN,17-06-01-014,469
953,JIGAWA,DUTSE,ABAYA,DOGON JEJI P.S,17-06-01-015,34
954,JIGAWA,DUTSE,CHAMO,ABANDERI PRI. SCH.,17-06-02-001,781
955,JIGAWA,DUTSE,CHAMO,BIRNIN GIJA,17-06-02-002,259
956,JIGAWA,DUTSE,CHAMO,CHAICHAI PRI. SCH.,17-06-02-003,617
957,JIGAWA,DUTSE,CHAMO,CHAMO GARI PRI. SCH. I,17-06-02-004,661
958,JIGAWA,DUTSE,CHAMO,CHAMO GARI PRI. SCH. II,17-06-02-005,651
959,JIGAWA,DUTSE,CHAMO,CHAMO KOFAR YAMMA PRI. SCH.,17-06-02-006,800
960,JIGAWA,DUTSE,CHAMO,CHAMO SABON GARI  I,17-06-02-007,554
961,JIGAWA,DUTSE,CHAMO,CHAMO SABON GARI  II,17-06-02-008,331
962,JIGAWA,DUTSE,CHAMO,DAN MARAYA,17-06-02-009,356
963,JIGAWA,DUTSE,CHAMO,DIGAWA,17-06-02-010,428
964,JIGAWA,DUTSE,CHAMO,DUNGULMI,17-06-02-011,673
965,JIGAWA,DUTSE,CHAMO,GABARI,17-06-02-012,463
966,JIGAWA,DUTSE,CHAMO,GIDAN GANJI,17-06-02-013,670
967,JIGAWA,DUTSE,CHAMO,ISARI,17-06-02-014,981
968,JIGAWA,DUTSE,CHAMO,KIRILLA,17-06-02-015,402
969,JIGAWA,DUTSE,CHAMO,KWADAGE,17-06-02-016,477
970,JIGAWA,DUTSE,CHAMO,CHAMO K/YAMMA,17-06-02-017,694
971,JIGAWA,DUTSE,CHAMO,CHAICHAI,17-06-02-018,371
972,JIGAWA,DUTSE,CHAMO,JSS ISARI,17-06-02-019,61
973,JIGAWA,DUTSE,CHAMO,PHC CHAMO,17-06-02-020,194
974,JIGAWA,DUTSE,DUNDUBUS,ALANJERI PRI. SCH.,17-06-03-001,353
975,JIGAWA,DUTSE,DUNDUBUS,BEN-BEN,17-06-03-002,345
976,JIGAWA,DUTSE,DUNDUBUS,BUJU CIKIN GARI PRI. SCH. I,17-06-03-003,489
977,JIGAWA,DUTSE,DUNDUBUS,BUJU CIKIN GARI PRI. SCH. II,17-06-03-004,749
978,JIGAWA,DUTSE,DUNDUBUS,DUNDUBUS PRI. SCH.,17-06-03-005,750
979,JIGAWA,DUTSE,DUNDUBUS,KACHA PRI. SCH.,17-06-03-006,733
980,JIGAWA,DUTSE,DUNDUBUS,KARFAWA I,17-06-03-007,501
981,JIGAWA,DUTSE,DUNDUBUS,KARFAWA II,17-06-03-008,623
982,JIGAWA,DUTSE,DUNDUBUS,MAIBAREWA,17-06-03-009,403
983,JIGAWA,DUTSE,DUNDUBUS,MAIKISHIRWA,17-06-03-010,468
984,JIGAWA,DUTSE,DUNDUBUS,ZANGON BUJI I,17-06-03-011,715
985,JIGAWA,DUTSE,DUNDUBUS,ZANGON BUJI II,17-06-03-012,354
986,JIGAWA,DUTSE,DUNDUBUS,DUNDUBUS GSSS,17-06-03-013,555
987,JIGAWA,DUTSE,DUNDUBUS,PHC DUNDUBUS,17-06-03-014,66
988,JIGAWA,DUTSE,DURU,DARAU PRI. SCH.,17-06-04-001,461
989,JIGAWA,DUTSE,DURU,DARAU N. MUSA,17-06-04-002,368
990,JIGAWA,DUTSE,DURU,DUHUWA,17-06-04-003,225
991,JIGAWA,DUTSE,DURU,DURU PRY SCH,17-06-04-004,750
992,JIGAWA,DUTSE,DURU,GIDAN DUGUS,17-06-04-005,550
993,JIGAWA,DUTSE,DURU,GORIN,17-06-04-006,314
994,JIGAWA,DUTSE,DURU,HAMADAWA,17-06-04-007,255
995,JIGAWA,DUTSE,DURU,JAMAAR GIDE,17-06-04-008,250
996,JIGAWA,DUTSE,DURU,KIRORO,17-06-04-009,256
997,JIGAWA,DUTSE,DURU,KUNDIN BARE-BARI,17-06-04-010,546
998,JIGAWA,DUTSE,DURU,KULLUN KOTA,17-06-04-011,503
999,JIGAWA,DUTSE,DURU,SAMANI PRI SCH,17-06-04-012,300
1000,JIGAWA,DUTSE,DURU,DUHUWAJO/DAHORA,17-06-04-013,329
1001,JIGAWA,DUTSE,DURU,TUNGARE PRI. SCH.,17-06-04-014,386
1002,JIGAWA,DUTSE,DURU,TSATSTSUGON,17-06-04-015,495
1003,JIGAWA,DUTSE,DURU,WANGARA PRI. SCH.  I,17-06-04-016,748
1004,JIGAWA,DUTSE,DURU,WANGARA PRI. SCH.  II,17-06-04-017,470
1005,JIGAWA,DUTSE,DURU,KATURJE PRI. SCH.,17-06-04-018,185
1006,JIGAWA,DUTSE,DURU,YANJAJIN KANAWA,17-06-04-019,331
1007,JIGAWA,DUTSE,DURU,YARGABA PRI. SCH.  I,17-06-04-020,677
1008,JIGAWA,DUTSE,DURU,YARGABA PRI. SCH. II,17-06-04-021,424
1009,JIGAWA,DUTSE,DURU,ZANGO FADO PRI. SCH.  I,17-06-04-022,497
1010,JIGAWA,DUTSE,DURU,ZANGO FADO PRI. SCH.  II,17-06-04-023,312
1011,JIGAWA,DUTSE,DURU,ARIRI,17-06-04-024,596
1012,JIGAWA,DUTSE,DURU,DUTSEN DURU,17-06-04-025,59
1013,JIGAWA,DUTSE,DURU,DURU DISENSARY,17-06-04-026,639
1014,JIGAWA,DUTSE,JIGAWAR TSADA,DAN TAWUYA PRI. SCH.,17-06-05-001,639
1015,JIGAWA,DUTSE,JIGAWAR TSADA,DUTSAWA,17-06-05-002,454
1016,JIGAWA,DUTSE,JIGAWAR TSADA,GALADIMAWA,17-06-05-003,609
1017,JIGAWA,DUTSE,JIGAWAR TSADA,GANDU,17-06-05-004,535
1018,JIGAWA,DUTSE,JIGAWAR TSADA,JAUDI GARI PRI. SCH. I,17-06-05-005,837
1019,JIGAWA,DUTSE,JIGAWAR TSADA,JAUDI GARI PRI. SCH.  II,17-06-05-006,590
1020,JIGAWA,DUTSE,JIGAWAR TSADA,JIGA WAR BARDE,17-06-05-007,629
1021,JIGAWA,DUTSE,JIGAWAR TSADA,JIGA WAR BARDE LARA BAWA PRI. SCH.,17-06-05-008,967
1022,JIGAWA,DUTSE,JIGAWAR TSADA,JIGA WAR  TSADA PRI. SCH. I,17-06-05-009,958
1023,JIGAWA,DUTSE,JIGAWAR TSADA,JIGA WAR  TSADA PRI. SCH. II,17-06-05-010,909
1024,JIGAWA,DUTSE,JIGAWAR TSADA,MANGANDA,17-06-05-011,717
1025,JIGAWA,DUTSE,JIGAWAR TSADA,TAKUR SITE I,17-06-05-012,2045
1026,JIGAWA,DUTSE,JIGAWAR TSADA,TAKUR SITE II,17-06-05-013,1287
1027,JIGAWA,DUTSE,JIGAWAR TSADA,PHC JAUDI,17-06-05-014,49
1028,JIGAWA,DUTSE,JIGAWAR TSADA,KATIRJE OPEN SPACE,17-06-05-015,81
1029,JIGAWA,DUTSE,JIGAWAR TSADA,GJSS JIGAWAR TSADA,17-06-05-016,750
1030,JIGAWA,DUTSE,JIGAWAR TSADA,DASINA PS,17-06-05-017,219
1031,JIGAWA,DUTSE,JIGAWAR TSADA,J/TSADA ISLAMIYYA P.S,17-06-05-018,226
1032,JIGAWA,DUTSE,JIGAWAR TSADA,NTI TAKUR SITE,17-06-05-019,195
1033,JIGAWA,DUTSE,JIGAWAR TSADA,GCSS TAKUR,17-06-05-020,77
1034,JIGAWA,DUTSE,JIGAWAR TSADA,NPI TAKUR ADU'A,17-06-05-021,240
1035,JIGAWA,DUTSE,JIGAWAR TSADA,TAKUR SITE DISPENSARY,17-06-05-022,115
1036,JIGAWA,DUTSE,JIGAWAR TSADA,TAKUR SITE VIEWING CENTRE,17-06-05-023,52
1037,JIGAWA,DUTSE,KACHI,BURTILAN,17-06-06-001,750
1038,JIGAWA,DUTSE,KACHI,FAGOJI PRI. SCH. I,17-06-06-002,1741
1039,JIGAWA,DUTSE,KACHI,FAGOJI PRI. SCH.  II,17-06-06-003,1352
1040,JIGAWA,DUTSE,KACHI,GURUNGU JAMA'A,17-06-06-004,1182
1041,JIGAWA,DUTSE,KACHI,KACHI PRIMARY SCHOOL,17-06-06-005,1079
1042,JIGAWA,DUTSE,KACHI,KASARAU PRI. SCH.  I,17-06-06-006,1215
1043,JIGAWA,DUTSE,KACHI,KASARAU PRI. SCH.  II,17-06-06-007,750
1044,JIGAWA,DUTSE,KACHI,KASARAU PRI. SCH.  III,17-06-06-008,750
1045,JIGAWA,DUTSE,KACHI,KASARAU PRI. SCH. IV,17-06-06-009,908
1046,JIGAWA,DUTSE,KACHI,KASARAU PRI. SCH. V,17-06-06-010,1222
1047,JIGAWA,DUTSE,KACHI,ZAI GADADIN PRI. SCH.  I,17-06-06-011,895
1048,JIGAWA,DUTSE,KACHI,ZAI GADADIN PRI. SCH. II,17-06-06-012,830
1049,JIGAWA,DUTSE,KACHI,SABON GARIN BOKOTO,17-06-06-013,1096
1050,JIGAWA,DUTSE,KACHI,GADADIN,17-06-06-014,1015
1051,JIGAWA,DUTSE,KACHI,"BURTILAN WATER BOARD,",17-06-06-015,472
1052,JIGAWA,DUTSE,KACHI,FAGOJI PRI SCH III,17-06-06-016,273
1053,JIGAWA,DUTSE,KACHI,"SKILL ACQUISITION CENTRE FAGOJI,",17-06-06-017,111
1054,JIGAWA,DUTSE,KACHI,UNGUWAR SARKIN ASKA,17-06-06-018,350
1055,JIGAWA,DUTSE,KACHI,"3STAR QUARTERS ISILAMIYA PRI SCH,",17-06-06-019,52
1056,JIGAWA,DUTSE,KACHI,"GANDUN SARKI MAJA ISILAMIYA PRI SCH,",17-06-06-020,750
1057,JIGAWA,DUTSE,KACHI,"SABUWAR KASUWA/DANGAN TSAURE,",17-06-06-021,335
1058,JIGAWA,DUTSE,KACHI,G9  GREEN  HOUSE JIGAWA STATE,17-06-06-022,750
1059,JIGAWA,DUTSE,KACHI,"GOVT JUNIOR SEC SCH KACHI,",17-06-06-023,750
1060,JIGAWA,DUTSE,KACHI,"PHC KACHI,",17-06-06-024,266
1061,JIGAWA,DUTSE,KACHI,"JIGAWA EDU RESOURCE DEPT,",17-06-06-025,70
1062,JIGAWA,DUTSE,KACHI,GJASS BAURE,17-06-06-026,750
1063,JIGAWA,DUTSE,KACHI,"LOCAL GOVT SERVICE COMMISSION,",17-06-06-027,121
1064,JIGAWA,DUTSE,KACHI,"MANDAWARI/FAGOJI ISILAMIYA PRI SCH,",17-06-06-028,442
1065,JIGAWA,DUTSE,KACHI,"SABUWAR MARANJUWA ISILAMIYA PRI SCH,",17-06-06-029,750
1066,JIGAWA,DUTSE,KACHI,"SENIOR SEC. SCH. BEHIND ABATTOIR,",17-06-06-030,750
1067,JIGAWA,DUTSE,KACHI,"JIGAWA SCHOLARSHIP BOARD,",17-06-06-031,589
1068,JIGAWA,DUTSE,KACHI,"JIGAWA STATE LIBRARY ,",17-06-06-032,156
1069,JIGAWA,DUTSE,KACHI,DUTSE CAPITAL SEC SCH,17-06-06-033,413
1070,JIGAWA,DUTSE,KACHI,"DUTSE ICT CENTRE LOCOST,",17-06-06-034,750
1071,JIGAWA,DUTSE,KACHI,DR NUHU MOHD SANUSI SENIOR SEC SCH,17-06-06-035,104
1072,JIGAWA,DUTSE,KACHI,"GOVT SENIOR SEC SCH ZAI,",17-06-06-036,206
1073,JIGAWA,DUTSE,KACHI,"ZAI CIKIN GARI ISILAMIYA PRI SCH. ,",17-06-06-037,750
1074,JIGAWA,DUTSE,KACHI,"ZAI JUNIOR SEC SCH, NEW",17-06-06-038,750
1075,JIGAWA,DUTSE,KACHI,"ZAI BAKIN TITI ISILAMIYA PRI SCH,",17-06-06-039,281
1076,JIGAWA,DUTSE,KACHI,"BOKOTO YADI OPEN SPACE,",17-06-06-040,121
1077,JIGAWA,DUTSE,KACHI,BOKOTO   WATER BOARD,17-06-06-041,750
1078,JIGAWA,DUTSE,KACHI,JIGAWAR SARKI PRI SCH,17-06-06-042,750
1079,JIGAWA,DUTSE,KACHI,"GALADIMAWA ISILAMIYA PRI SCH,",17-06-06-043,372
1080,JIGAWA,DUTSE,KARNAYA,BAKIN RUWA PRI. SCH.,17-06-07-001,650
1081,JIGAWA,DUTSE,KARNAYA,BARANGU PRI. SCH.,17-06-07-002,664
1082,JIGAWA,DUTSE,KARNAYA,FANISAU,17-06-07-003,630
1083,JIGAWA,DUTSE,KARNAYA,GYABIYA/TAHU,17-06-07-004,746
1084,JIGAWA,DUTSE,KARNAYA,IJE,17-06-07-005,463
1085,JIGAWA,DUTSE,KARNAYA,IRWA/ALEMI,17-06-07-006,570
1086,JIGAWA,DUTSE,KARNAYA,J/HABUBA/RUNBAWA,17-06-07-007,586
1087,JIGAWA,DUTSE,KARNAYA,JIGAWAR KARO,17-06-07-008,459
1088,JIGAWA,DUTSE,KARNAYA,KADUSAWA PRIMARY SCHOOL,17-06-07-009,677
1089,JIGAWA,DUTSE,KARNAYA,KARNAYA GARI PRI. SCH.,17-06-07-010,878
1090,JIGAWA,DUTSE,KARNAYA,KISHIN GAWA,17-06-07-011,587
1091,JIGAWA,DUTSE,KARNAYA,KWARIN MAKERA PRI. SCH.,17-06-07-012,719
1092,JIGAWA,DUTSE,KARNAYA,LAFIYAWO,17-06-07-013,361
1093,JIGAWA,DUTSE,KARNAYA,S/ YALWA,17-06-07-014,576
1094,JIGAWA,DUTSE,KARNAYA,WURMA GARI,17-06-07-015,723
1095,JIGAWA,DUTSE,KARNAYA,WURMA YAMMA,17-06-07-016,459
1096,JIGAWA,DUTSE,KARNAYA,YALWA,17-06-07-017,653
1097,JIGAWA,DUTSE,KARNAYA,YARBIRI,17-06-07-018,400
1098,JIGAWA,DUTSE,KARNAYA,RUMBAWA,17-06-07-019,359
1099,JIGAWA,DUTSE,KARNAYA,DISPENSARY KARNAYA,17-06-07-020,117
1100,JIGAWA,DUTSE,KUDAI,BAKIN JEJI,17-06-08-001,732
1101,JIGAWA,DUTSE,KUDAI,DADIN DUNIYA PRI. SCH.,17-06-08-002,514
1102,JIGAWA,DUTSE,KUDAI,KUDAI GIDAN M SHEHU PRI. SCH. I,17-06-08-003,337
